about,aboat
anymore,anemonemore
anything,anyfin
atrocious,a-trout-cious
bark,shark
believeable,believeabubble
bet,bait
better,betta
bike,pike
blabbermouth,blubbermouth
boy,buoy
boys,buoys
brilliant,gilliant
card,cod
cats,catfish
corral,coral
courtesy,courtesea
coy,koi
cracking,kraken
crap,carp
crying,blubbering
cuddle,cuttle
discernable,discernabubble
doubt,trout
doubting,trouting
enemies,anemonies
enemy,anemony
fantastic,fintastic
feel,eel
feeling,eeling
feelings,eelings
Friday,fry-day
friendly,frondly
gallop,scallop
girl,gill
girlfriend,gillfrond
girlfriends,gillfronds
girls,gills
god,cod
godawful,codawful
gods,cods
grab,crab
grabbed,crabbed
grabbing,crabbing
grabs,crabs
group,grouper
guilt,gillt
hearing,herring
hell,shell
hells,shells
inevitable,inevitibubble
insure,inshore
invisible,invisibubble
jaw,craw
jelly,jellyfish
kid,squid
kids,squids
kill,krill
killing,krilling
killings,krillings
more,moray
more,moore
muscle,mussel
muscles,mussels
must,mast
not,naut
nothing,nofin
official,ofishal
pawn,prawn
place,plaice
plank,plankton
proposition,porpoisition
purse,octopurse
real,reel
really,reely
row,roe
sake,hake
sakes,hakes
sale,sail
sales,sails
scram,clam
see,sea
seem,bream
seen,sean
self,shellf
selfish,shellfish
selfishness,shellfishness
shake,hake
shakes,hakes
she'll,shell
side,tide
sides,tides
sike,pike
simp,shrimp
simping,shrimping
simply,shrimply
sit,perch
slam,clam
someone,salmon
something,somefin
something's,somefin's
sophisticated,sofishticated
soul,sole
summon,salmon
summoning,salmoning
sure,shore
sure,shore
surgeon,sturgeon
surgeons,sturgeons
total,turtle
tune,tuna
unbelieveable,unbelieveabubble
well,whale
what're,water
while,whale
About,Aboat
Anymore,Anemonemore
Anything,Anyfin
Atrocious,A-Trout-Cious
Bark,Shark
Believeable,Believeabubble
Bet,Bait
Better,Betta
Bike,Pike
Blabbermouth,Blubbermouth
Boy,Buoy
Boys,Buoys
Brilliant,Gilliant
Card,Cod
Cats,Catfish
Corral,Coral
Courtesy,Courtesea
Coy,Koi
Cracking,Kraken
Crap,Carp
Crying,Blubbering
Cuddle,Cuttle
Discernable,Discernabubble
Doubt,Trout
Doubting,Trouting
Enemies,Anemonies
Enemy,Anemony
Fantastic,Fintastic
Feel,Eel
